#cod_section,# names,#name_section,#geo+lat,#geo+lon
TN0000000000035,Departementale,RD25,605388.336776,2010575.28435
TN0000000000036,Departementale,RD25,627597.002863,2010621.00397
TN0000000000038,,,614517.563462,2009769.70726
TN0000000000039,,,718041.773287,2010974.79139
TN0000000000040,Departementale,RD42,717371.002069,2010450.99841
TN0000000000041,,,622447.23461,2011021.49555
TN0000000000042,,,624713.99999,2008283.99939
TN0000000000043,,,605388.336776,2010575.28435
TN0000000000044,Departementale,RD41,842097.997603,2009851.00052
TN0000000000045,,,719386.600646,2011355.03676
TN0000000000047,,,632724.2742,2011823.28136
TN0000000000048,,,632724.2742,2011823.28136
TN0000000000050,,,632345.968763,2011866.40763
TN0000000000051,,,632345.968763,2011866.40763
TN0000000000052,,,631974.48097,2011907.56774
TN0000000000053,,,631853.647956,2011731.79107
TN0000000000054,,,631878.625385,2011918.1882
TN0000000000055,,,631764.625076,2011930.8192
TN0000000000056,,,631764.625076,2011930.8192
TN0000000000057,,,631753.996404,2011931.99677
TN0000000000058,,,632746.866754,2012012.94659
TN0000000000059,,,632933.836337,2011992.10055
TN0000000000060,,,632365.134012,2012055.76971
TN0000000000061,,,632746.866754,2012012.94659
TN0000000000062,Departementale,Rd42,711758.995212,2012068.99937
TN0000000000063,Departementale,RD42,731806.167204,2010994.03839
TN0000000000064,,,631990.410777,2012094.06696
TN0000000000065,,,632365.134012,2012055.76971
TN0000000000066,,,631878.625385,2011918.1882
TN0000000000067,,,631990.410777,2012094.06696
TN0000000000068,,,631789.948482,2012118.34598
TN0000000000069,,,631898.02924,2012105.44098
TN0000000000070,,,633048.00054,2012162.9999
TN0000000000071,,,632956.383908,2012174.15331
TN0000000000072,,,632956.383908,2012174.15331
TN0000000000073,,,632768.734888,2012196.53659
TN0000000000074,,,632768.734888,2012196.53659
TN0000000000075,,,632385.058886,2012241.21203
TN0000000000076,,,632385.058886,2012241.21203
TN0000000000077,,,633061.208687,2012255.9844
TN0000000000078,,,632971.635842,2012268.6332
TN0000000000079,,,632971.635842,2012268.6332
TN0000000000080,,,632007.04838,2012281.77231
TN0000000000081,,,632007.04838,2012281.77231
TN0000000000082,,,632780.2773,2012293.44067
TN0000000000083,,,632780.2773,2012293.44067
TN0000000000084,,,631898.02924,2012105.44098
TN0000000000085,,,631915.655292,2012293.9302
TN0000000000086,,,631819.624079,2012307.28933
TN0000000000087,,,631819.624079,2012307.28933
TN0000000000088,Departementale,RD25,627597.002863,2010621.00397
TN0000000000089,,,629494.998198,2010219.99528
TN0000000000090,,,632394.570418,2012339.01948
TN0000000000091,,,632394.570418,2012339.01948
TN0000000000092,,,633074.13931,2012355.08032
TN0000000000093,,,633614.003305,2012296.00274
TN0000000000094,,,632982.917157,2012364.54374
TN0000000000095,,,633074.13931,2012355.08032
TN0000000000096,,,632016.413815,2012376.35859
TN0000000000097,,,632016.413815,2012376.35859
TN0000000000098,,,631915.655292,2012293.9302
TN0000000000099,,,631924.470959,2012385.77527
TN0000000000100,,,632792.742056,2012388.68547
TN0000000000101,,,632982.917157,2012364.54374
TN0000000000102,,,631833.093323,2012395.13405
TN0000000000103,,,631833.093323,2012395.13405
TN0000000000104,,,631827.718846,2012395.68461
TN0000000000105,,,632404.318404,2012432.81367
TN0000000000106,,,632792.742056,2012388.68547
TN0000000000107,,,632404.318404,2012432.81367
TN0000000000108,,,633085.419647,2012447.13192
TN0000000000109,,,633085.419647,2012447.13192
TN0000000000110,,,632993.991747,2012456.63504
TN0000000000111,,,632993.991747,2012456.63504
TN0000000000112,,,632026.079267,2012473.95149
TN0000000000113,,,632290.301079,2012443.6037
TN0000000000114,,,632806.832846,2012477.6706
TN0000000000115,,,632806.832846,2012477.6706
TN0000000000116,,,631924.470959,2012385.77527
TN0000000000117,,,632026.079267,2012473.95149
TN0000000000118,,,632413.965863,2012525.64543
TN0000000000119,,,632413.965863,2012525.64543
TN0000000000120,,,632290.301079,2012443.6037
TN0000000000121,,,632185.928867,2012551.33965
TN0000000000122,,,632035.38603,2012567.90958
TN0000000000123,,,632035.38603,2012567.90958
TN0000000000124,,,619375.823875,2012084.06081
TN0000000000125,,,631876.396581,2012572.40591
TN0000000000126,,,631934.583893,2012489.96735
TN0000000000127,,,631870.997071,2012586.00424
TN0000000000128,,,631870.997071,2012586.00424
TN0000000000129,,,617552.086084,2012630.54042
TN0000000000130,Departementale,RD41,839733.81143,2011334.60808
TN0000000000131,Departementale,RD42,748330.672916,2012691.33889
TN0000000000132,Departementale,RD25,601669.211679,2012723.15919
TN0000000000133,,,622447.23461,2011021.49555
TN0000000000134,,,625339.999942,2011832.99747
TN0000000000135,,,839733.81143,2011334.60808
TN0000000000136,Departementale,RD42,738428.999817,2012000.00326
TN0000000000137,,,837071.00093,2012688.00331
TN0000000000138,,,631153.559244,2012786.89857
TN0000000000139,,,631870.997071,2012586.00424
TN0000000000140,Departementale,RD25,629780.997201,2012308.00046
TN0000000000141,,,617481.977917,2013040.77647
TN0000000000142,,,617329.61347,2013053.4986
TN0000000000143,,,617481.977917,2013040.77647
TN0000000000144,,,617462.067712,2013127.03818
TN0000000000145,,,617462.067712,2013127.03818
TN0000000000146,,,836814.00239,2012770.99634
TN0000000000147,Departementale,RD41,837071.00093,2012688.00331
TN0000000000148,,,619375.823875,2012084.06081
TN0000000000149,,,619926.794926,2012569.07796
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
TN0000000000150,,,622447.23461,2011021.49555
TN0000000000151,,,630591.002755,2012928.00419
TN0000000000152,,,631153.559244,2012786.89857
TN0000000000153,,,725789.002868,2013294.99976
TN0000000000154,,,731806.167204,2010994.03839
TN0000000000155,,,748330.672916,2012691.33889
TN0000000000156,,,826039.592176,2013459.69929
TN0000000000157,,,630852.997719,2013202.99842
TN0000000000158,,,632185.928867,2012551.33965
TN0000000000159,,,826039.592176,2013459.69929
TN0000000000160,,,617329.61347,2013053.4986
TN0000000000161,,,624555.672181,2012755.23199
TN0000000000162,,,627597.002863,2010621.00397
TN0000000000163,,,617615.13272,2013912.17074
TN0000000000164,,,617615.13272,2013912.17074
TN0000000000165,,,617920.999096,2013892.99787
TN0000000000166,,,617165.003899,2013965.00353
TN0000000000170,,,617672.996937,2013915.00349
TN0000000000171,,,617898.999338,2014067.0026
TN0000000000172,,,628594.997351,2012993.00113
TN0000000000173,,,629065.00215,2014142.99727
TN0000000000174,RN2: Nationale no 2,RN2,631240.997945,2013553.99691
TN0000000000175,,,629953.913544,2014460.97929
TN0000000000176,,,630852.997719,2013202.99842
TN0000000000177,RN2: Nationale no 2,RN2,631996.244665,2014172.53185
TN0000000000178,,,633385.997992,2014274.00052
TN0000000000180,,,725789.002868,2013294.99976
TN0000000000181,,,630277.24912,2014706.98108
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
TN0000000000182,RN7: Nationale no 7,RN7,630277.24912,2014706.98108
TN0000000000183,Departementale,RD42,693355.623037,2014893.46935
TN0000000000184,,,619926.794926,2012569.07796
TN0000000000185,,,620632.002103,2013196.99927
TN0000000000186,,,620632.002103,2013196.99927
TN0000000000187,,,624555.672181,2012755.23199
TN0000000000188,,,625877.758543,2013860.68295
TN0000000000189,,,627466.788377,2015159.60645
TN0000000000191,Departementale,RD42,751331.00053,2015752.9991
TN0000000000192,,,720336.986231,2015849.41697
TN0000000000193,,,627466.788377,2015159.60645
TN0000000000194,,,629953.913544,2014460.97929
TN0000000000195,,,720336.986231,2015849.41697
TN0000000000196,,,751148.998427,2015978.00366
TN0000000000197,,,602964.00282,2016000.9991
TN0000000000198,,,631996.244665,2014172.53185
TN0000000000199,,,630831.855765,2016036.00615
TN0000000000200,RN7: Nationale no 7,RN7,630072.656418,2016040.92493
TN0000000000201,,,630831.855765,2016036.00615
TN0000000000202,,,617898.999338,2014067.0026
TN0000000000203,,,618928.527411,2015103.06278
TN0000000000204,,,622882.672217,2015128.52504
TN0000000000205,,,625877.758543,2013860.68295
TN0000000000206,,,618084.002973,2016071.0044
TN0000000000207,,,722237.756619,2014664.1343
TN0000000000208,,,756209.83005,2016620.61227
TN0000000000209,,,624041.392688,2016103.36782
TN0000000000211,Departementale,RD42,756209.83005,2016620.61227
TN0000000000212,,,762338.996477,2016418.0041
TN0000000000213,,,628348.413522,2015894.39867
TN0000000000214,RN7: Nationale no 7,RN7,629789.652493,2016915.04361
TN0000000000168,,,711758.995212,2012068.99937
TN0000000000216,,,817481.99972,2017315.00146
TN0000000000217,Departementale,RD41,836921.998659,2013151.99859
TN0000000000218,,,774122.50178,2017450.83763
TN0000000000220,Departementale,RD41,774122.50178,2017450.83763
TN0000000000221,Departementale,RD42,758747.703534,2017532.73522
TN0000000000222,Departementale,RD41,775373.729545,2017598.68951
TN0000000000223,Departementale,RD41,772326.470314,2017166.77446
TN0000000000224,Departementale,,775692.034274,2017681.83313
TN0000000000225,Departementale,,817481.99972,2017315.00146
TN0000000000226,,,760273.651919,2017729.95093
TN0000000000227,,,760403.736346,2017735.99565
TN0000000000228,Departementale,,760403.736346,2017735.99565
TN0000000000229,,,760602.00113,2017691.00455
TN0000000000230,,,760602.00113,2017787.99527
TN0000000000231,,,759975.003926,2017803.00195
TN0000000000232,,,760273.651919,2017729.95093
TN0000000000233,,,758747.703534,2017532.73522
TN0000000000234,,,758702.691121,2017808.14447
TN0000000000235,,,760787.663079,2017813.99987
TN0000000000236,,,760896.546488,2017847.93711
TN0000000000237,Departementale,,760404.070588,2017865.08674
TN0000000000238,,,760929.148711,2017867.18744
TN0000000000239,,,760404.070588,2017865.08674
TN0000000000240,,,760787.663079,2017813.99987
TN0000000000241,,,620638.788651,2017889.96833
TN0000000000242,,,622882.672217,2015128.52504
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
TN0000000000243,,,760667.776662,2017903.61105
TN0000000000244,,,760703.657745,2017882.12195
TN0000000000245,,,761001.424074,2017918.83991
TN0000000000246,Departementale,RD25,595610.74993,2017918.90816
TN0000000000247,Departementale,RD25,595540.099231,2017935.40006
TN0000000000248,,,760606.168891,2017940.34603
TN0000000000249,,,760667.776662,2017903.61105
TN0000000000250,,,760740.954812,2017945.58888
TN0000000000251,,,760740.954812,2017945.58888
TN0000000000252,,,760340.10239,2017954.86787
TN0000000000253,Departementale,,760340.10239,2017954.86787
TN0000000000254,Departementale,RD25,595454.942727,2017958.57681
TN0000000000255,,,760704.537845,2017968.227
TN0000000000256,,,760704.537845,2017968.227
TN0000000000257,,,760759.498515,2017977.13792
TN0000000000258,,,760759.498515,2017977.13792
TN0000000000259,,,762109.92859,2016893.49544
TN0000000000260,,,760721.949936,2017998.83394
TN0000000000261,,,760721.949936,2017998.83394
TN0000000000262,,,760644.217563,2018004.57493
TN0000000000263,,,760644.217563,2018004.57493
TN0000000000264,,,762340.002529,2018014.99864
TN0000000000265,Departementale,RD41,765829.044495,2017639.8199
TN0000000000266,,,761528.601332,2017984.93971
TN0000000000267,Departementale,,762340.002529,2018014.99864
TN0000000000268,,,595552.609948,2018023.42158
TN0000000000269,,,595552.609948,2018023.42158
TN0000000000270,,,760452.001021,2018026.99635
TN0000000000271,,,760606.168891,2017940.34603
TN0000000000301,,,760712.072478,2018119.11895
TN0000000000302,Departementale,RD25,595124.708342,2018121.71641
TN0000000000303,,,760855.482594,2018128.75741
TN0000000000304,Departementale,RD41,761538.193051,2018090.98665
TN0000000000305,Departementale,,760796.569885,2018129.99542
TN0000000000306,,,760796.569885,2018129.99542
TN0000000000307,Departementale,,760855.482594,2018128.75741
TN0000000000308,,,595182.282322,2018088.98433
TN0000000000309,,,595464.422967,2018033.80657
TN0000000000310,,,614917.248676,2018221.38635
TN0000000000311,,,615889.466017,2018050.54489
TN0000000000312,RN4: Nationale no 4,RN4,760412.000483,2018227.99531
TN0000000000313,,,595124.708342,2018121.71641
TN0000000000314,,,595342.719045,2018218.9739
TN0000000000315,,,595342.719045,2018218.9739
TN0000000000316,,,756653.295341,2018372.93739
TN0000000000317,Departementale,RD25,594579.253757,2018394.54228
TN0000000000318,,,758347.553432,2018494.61374
TN0000000000319,,,826964.003668,2018529.00413
TN0000000000320,,,760126.001286,2018551.99977
TN0000000000321,RN4: Nationale no 4,RN4,760126.001286,2018551.99977
TN0000000000322,,,756653.295341,2018372.93739
TN0000000000323,,,756492.880131,2018589.58766
TN0000000000324,,,826964.003668,2018529.00413
TN0000000000325,,,759535.945979,2018066.04912
TN0000000000326,,,758716.9814,2018679.85578
TN0000000000327,,,758347.553432,2018494.61374
TN0000000000328,,,621871.08625,2018797.15549
TN0000000000329,,,624041.392688,2016103.36782
TN0000000001158,,,725398.120608,2039411.07168
TN0000000001159,,,725476.510905,2039314.31956
TN0000000001160,RN2: Nationale no 2,RN2,702902.622357,2039248.696
TN0000000001161,RN2: Nationale no 2,RN2,703103.296659,2039429.26608
TN0000000001162,,,725552.047331,2039374.31069
TN0000000001163,,,725476.002012,2039470.03309
TN0000000001164,,,725552.047331,2039374.31069
TN0000000001165,,,725398.120608,2039411.07168
TN0000000001166,,,702886.027977,2039505.12345
TN0000000001167,Departementale,,703103.296659,2039429.26608
TN0000000001168,,,725476.002012,2039470.03309
TN0000000001169,,,735612.36136,2038873.64732
TN0000000001170,,,726170.002193,2039000.99698
TN0000000001171,Departementale,,702886.027977,2039505.12345
TN0000000001172,,,703210.188499,2039403.33697
TN0000000001173,,,798287.999832,2037845.00247
TN0000000001174,,,797739.000597,2039682.99847
TN0000000001175,,,659031.223933,2039226.89103
TN0000000001176,Departementale,,702855.001329,2039643.99636
TN0000000001178,RN2: Nationale no 2,RN2,726170.002193,2039000.99698
TN0000000001179,Departementale,,701770.553461,2040351.12978
TN0000000001181,Departementale,,702256.452863,2040068.65528
TN0000000000989,Departementale,RD21,699856.908386,2040769.36163
TN0000000000990,,,699856.908386,2040769.36163
TN0000000000991,,,797739.000597,2039682.99847
TN0000000000992,,,671079.841905,2040945.35656
TN0000000000993,,,671079.841905,2040945.35656
TN0000000000994,,,671084.00243,2041098.00049
TN0000000000995,,,786526.003973,2035012.99884
TN0000000000272,,,762109.92859,2016893.49544
TN0000000000273,Departementale,,762279.160641,2018022.4744
TN0000000000274,,,595454.942727,2017958.57681
TN0000000000275,,,595464.422967,2018033.80657
TN0000000000276,,,760661.121347,2018034.37081
TN0000000000277,,,760661.121347,2018034.37081
TN0000000000278,,,760587.654329,2018036.92662
TN0000000000279,,,760452.001021,2018026.99635
TN0000000000280,,,760587.654329,2018036.92662
TN0000000000281,,,760801.684634,2018043.8135
TN0000000000282,,,760801.684634,2018043.8135
TN0000000000283,,,759990.887186,2018048.35286
TN0000000000284,Departementale,RD42,760340.10239,2017954.86787
TN0000000000285,,,617935.998539,2016241.00018
TN0000000000286,Departementale,RD42,759535.945979,2018066.04912
TN0000000000287,,,760761.786579,2018068.85547
TN0000000000288,,,760761.786579,2018068.85547
TN0000000000289,,,761658.546899,2018080.30165
TN0000000000290,Departementale,RD41,762209.998484,2018026.99635
TN0000000000291,Departementale,RD42,759990.887186,2018048.35286
TN0000000000292,Departementale,RD25,595182.282322,2018088.98433
TN0000000000293,,,761528.601332,2017984.93971
TN0000000000294,Departementale,,761658.546899,2018080.30165
TN0000000000295,Departementale,,760369.923302,2018095.28799
TN0000000000296,,,760701.446935,2018100.57739
TN0000000000297,,,760701.446935,2018100.57739
TN0000000000298,Departementale,RD41,760680.911076,2018113.04469
TN0000000000299,,,760680.911076,2018113.04469
TN0000000000300,Departementale,,760712.072478,2018119.11895
TN0000000000330,,,810296.002371,2018686.0024
TN0000000000332,,,623608.000628,2018871.00486
TN0000000000333,,,646507.997261,2016326.00335
TN0000000000334,,,649323.383434,2018993.01232
TN0000000000335,,,758716.9814,2018679.85578
TN0000000000336,Departementale,,813780.032853,2017534.89636
TN0000000000337,,,594902.787648,2019263.79537
TN0000000000338,,,833730.997025,2019461.00443
TN0000000000339,,,717286.003983,2017435.9968
TN0000000000340,,,595313.415241,2018260.21655
TN0000000000341,Departementale,,833851.905335,2019563.52061
TN0000000000342,Departementale,RD41,785010.322637,2019677.08693
TN0000000000343,,,791414.685526,2017525.47088
TN0000000000344,,,615889.466017,2018050.54489
TN0000000000345,,,775067.00204,2019733.99868
TN0000000000346,,,762991.003966,2019736.99865
TN0000000000347,,,762435.106508,2019752.7851
TN0000000000348,,,762435.106508,2019752.7851
TN0000000000349,,,758477.236924,2019028.21083
TN0000000000350,Departementale,RD25,591149.697543,2019774.60864
TN0000000000351,,,758477.236924,2019028.21083
TN0000000000352,,,591149.697543,2019774.60864
TN0000000000353,Departementale,RD25,590876.341859,2019837.58096
TN0000000000355,,,649323.383434,2018993.01232
TN0000000000356,,,762991.003966,2019736.99865
TN0000000000358,Departementale,RD41,835593.440629,2017362.86891
TN0000000000359,Departementale,,834197.002455,2020020.00101
TN0000000000360,Departementale,RD22,693355.623037,2014893.46935
TN0000000000361,,,833851.905335,2019563.52061
TN0000000000362,,,834197.002455,2020020.00101
TN0000000000363,,,762901.617311,2019971.94678
TN0000000000364,,,757616.42614,2019768.15281
TN0000000000365,Departementale,,833730.997025,2019461.00443
TN0000000000366,RN7: Nationale no 7,RN7,628802.122393,2020216.38257
TN0000000000368,,,716647.430924,2019519.83382
TN0000000000369,,,720053.000311,2020245.50469
TN0000000000370,RN7: Nationale no 7,RN7,628789.747211,2020257.00779
TN0000000000371,,,762901.617311,2019971.94678
TN0000000000372,,,698100.927721,2020455.08208
TN0000000000373,Departementale,RD22,695611.7838,2020137.94827
TN0000000000374,Departementale,,822158.785307,2020468.43456
TN0000000000375,Departementale,,826907.000579,2018667.99575
TN0000000000357,,,716647.430924,2019519.83382
TN0000000000377,,,822164.078423,2020735.40776
TN0000000000378,Departementale,RD25,588236.535799,2020925.03877
TN0000000000379,,,775067.00204,2019733.99868
TN0000000000381,,,765829.044495,2017639.8199
TN0000000000382,RN4: Nationale no 4,RN4 (Route de l'AmitiΘ),757857.000648,2021108.99938
TN0000000000383,,,763471.002397,2020281.99754
TN0000000000384,Departementale,RD41,784684.528845,2021185.07697
TN0000000000385,,,822164.078423,2020735.40776
TN0000000000386,RN2: Nationale no 2,RN2,628527.912621,2021203.17359
TN0000000000387,,,588236.535799,2020925.03877
TN0000000000388,,,822181.999407,2021303.99958
TN0000000000389,,,821592.000818,2021190.0028
TN0000000000392,,,776455.997699,2021556.99778
TN0000000000393,,,835593.440629,2017362.86891
TN0000000000394,,,840621.900028,2021703.22147
TN0000000000395,,,695611.7838,2020137.94827
TN0000000000396,,,840621.900028,2021703.22147
TN0000000000397,,,840720.179995,2021925.75296
TN0000000000398,,,748075.392136,2021144.13082
TN0000000000390,,,748075.392136,2021144.13082
TN0000000000400,,,756819.45819,2022089.6207
TN0000000000401,RN4: Nationale no 4,RN4 (Route de l'AmitiΘ),757385.817884,2022119.36534
TN0000000000404,RN2: Nationale no 2,RN2,628103.292028,2022421.50928
TN0000000000405,,,748075.392136,2021144.13082
TN0000000000406,RN2: Nationale no 2,RN2,628000.999589,2022474.00117
TN0000000000407,,,628704.081032,2022525.77099
TN0000000000408,,,628527.912621,2021203.17359
TN0000000000409,,,775825.998572,2022709.00348
TN0000000000410,,,643000.99852,2020444.00455
TN0000000000411,,,813780.032853,2017534.89636
TN0000000000403,,,763471.002397,2020281.99754
TN0000000000413,,,756819.45819,2022089.6207
TN0000000000414,RN2: Nationale no 2,RN2,649324.002437,2019933.99824
TN0000000000416,,,621578.022588,2023282.02572
TN0000000000417,RN2: Nationale no 2,RN2,643999.001222,2022757.00353
TN0000000000418,,,773643.00266,2023482.99593
TN0000000000419,,,823001.999179,2023601.00167
TN0000000000420,RN7: Nationale no 7,RN7,621578.022588,2023282.02572
TN0000000000421,RN2: Nationale no 2,RN2,632438.960698,2014592.46758
TN0000000000422,,,642999.002649,2023373.99831
TN0000000000423,,,784684.528845,2021185.07697
TN0000000000435,RN2: Nationale no 2,RN2,672480.167578,2023181.88405
TN0000000000426,,,642063.000633,2023863.99819
TN0000000000427,RN7: Nationale no 7,RN7,619962.999886,2024024.99544
TN0000000000428,,,621871.08625,2018797.15549
TN0000000000429,,,641676.996278,2023999.00081
TN0000000000430,,,675042.187481,2024128.4324
TN0000000000431,,,675042.187481,2024128.4324
TN0000000000432,,,628802.122393,2020216.38257
TN0000000000433,,,762999.002314,2024352.99867
TN0000000000434,,,675899.878995,2024499.26462
TN0000000000424,RN2: Nationale no 2,RN2,675035.41834,2023953.91819
TN0000000000437,,,757857.000648,2021108.99938
TN0000000000438,,,760247.998769,2024521.00465
TN0000000000439,Departementale,RD25,582894.663656,2024531.16648
TN0000000000440,,,810303.794383,2018798.9992
TN0000000000441,,,840720.179995,2021925.75296
TN0000000000442,RN2: Nationale no 2,RN2,675899.878995,2024499.26462
TN0000000000443,Departementale,RD23,676792.398994,2024867.61691
TN0000000000367,Departementale,RD81,833887.997643,2020155.00304
TN0000000000446,,,752585.993948,2023559.7201
TN0000000000447,,,582894.663656,2024531.16648
TN0000000000448,,,674734.998217,2024995.99785
TN0000000000449,,,811633.997613,2024654.99711
TN0000000000450,,,583096.291986,2024988.65332
TN0000000000451,,,671568.998068,2025412.00344
TN0000000000452,,,672480.167578,2023181.88405
TN0000000000453,,,792836.130466,2023866.99796
TN0000000000454,,,760247.998769,2024521.00465
TN0000000000455,,,787490.998433,2025836.99681
TN0000000000456,,,759410.893572,2025560.93296
TN0000000000457,Departementale,RD41,810303.794383,2018798.9992
TN0000000000458,RN7: Nationale no 7,RN7,619726.806711,2025955.35635
TN0000000000459,,,794495.096553,2025452.70082
TN0000000000460,Departementale,RD25,563737.532911,2026254.69102
TN0000000000461,,,563808.000549,2026278.99663
TN0000000000462,RN2: Nationale no 2,RN2,676792.398994,2024867.61691
TN0000000000463,,,688003.996845,2025472.00122
TN0000000000464,,,563853.982832,2026294.99607
TN0000000000465,,,671568.998068,2025412.00344
TN0000000000466,,,563926.084718,2026319.86906
TN0000000000467,,,563728.67852,2026325.57328
TN0000000000468,Departementale,RD41,787490.998433,2025836.99681
TN0000000000469,,,563728.67852,2026325.57328
TN0000000000470,,,563786.093104,2026343.94702
TN0000000000471,,,563786.093104,2026343.94702
TN0000000000472,,,563833.383998,2026359.08122
TN0000000000473,,,563713.509511,2026379.92218
TN0000000000474,,,563833.383998,2026359.08122
TN0000000000475,,,563903.949424,2026382.66496
TN0000000000477,,,563767.604358,2026398.76375
TN0000000000478,,,563767.604358,2026398.76375
TN0000000000479,,,563903.949424,2026382.66496
TN0000000000480,,,563968.375275,2026405.21136
TN0000000000481,,,563815.557087,2026415.46609
TN0000000000482,,,563815.557087,2026415.46609
TN0000000000483,,,563968.375275,2026405.21136
TN0000000000484,,,564029.49019,2026427.9461
TN0000000000485,,,563885.367779,2026441.90742
TN0000000000486,,,563885.367779,2026441.90742
TN0000000000487,,,563750.99707,2026448.00221
TN0000000000488,,,563750.99707,2026448.00221
TN0000000000489,,,794495.096553,2025452.70082
TN0000000000490,,,563949.811818,2026463.57723
TN0000000000491,,,563949.811818,2026463.57723
TN0000000000492,,,563800.840839,2026465.21168
TN0000000000493,,,563800.840839,2026465.21168
TN0000000000494,,,619726.806711,2025955.35635
TN0000000000495,,,792815.948994,2026476.53191
TN0000000000496,,,792946.557179,2026458.27708
TN0000000000497,,,564007.485934,2026482.77104
TN0000000000498,,,564007.485934,2026482.77104
TN0000000000499,,,563872.905761,2026488.18561
TN0000000000500,,,563872.905761,2026488.18561
TN0000000000501,,,564053.448659,2026499.17258
TN0000000000502,,,563935.611505,2026508.20475
TN0000000000503,,,563935.611505,2026508.20475
TN0000000000504,,,563862.948311,2026525.52472
TN0000000000505,,,563982.011346,2026546.79732
TN0000000000506,,,563925.000826,2026551.00127
TN0000000000507,RN7: Nationale no 7,RN7,619745.03749,2026766.35661
TN0000000000508,RN7: Nationale no 7,RN7,620327.939736,2026754.02661
TN0000000000509,,,564029.49019,2026427.9461
